fa_flight_id,scheduled_in_utc,actual_in_utc,arr_delay_min,departure_delay_min,cancelled,diverted,settled_at_utc,ident_iata,tail_num,op_carrier,origin,dest
UAL2066-1777981709-fa-174p,2026-05-08T13:00:00,2026-05-08T13:00:00Z,0.0,-6.0,0,0,2026-05-08T13:22:36.988905+00:00,UA2066,N14731,UA,YYZ,ORD
FFT1324-1778046457-airline-328p,2026-05-08T13:07:00,2026-05-08T13:00:00Z,-7.0,-7.0,0,0,2026-05-08T13:24:10.659455+00:00,F91324,N383FR,F9,DEN,DFW
DAL1211-1778040444-fa-7p,2026-05-08T13:12:00,2026-05-08T12:59:00Z,-13.0,-1.0,0,0,2026-05-08T13:15:25.749695+00:00,DL1211,N362DN,DL,MIA,ATL
FFT1334-1778046457-airline-332p,2026-05-08T13:05:00,2026-05-08T12:59:00Z,-6.0,19.0,0,0,2026-05-08T13:16:32.986233+00:00,F91334,N393FR,F9,DFW,TPA
AAL1940-1778053491-airline-592p,2026-05-08T12:32:00,2026-05-08T12:59:00Z,27.0,-5.0,0,0,2026-05-08T13:18:04.916211+00:00,AA1940,N849NN,AA,MEM,DFW
AAL2215-1778053491-airline-961p,2026-05-08T13:03:00,2026-05-08T12:59:00Z,-4.0,-5.0,0,0,2026-05-08T13:19:13.080558+00:00,AA2215,N358PW,AA,CLT,JAX
UAL1712-1777990418-fa-1209p,2026-05-08T13:00:00,2026-05-08T12:59:00Z,-1.0,-3.0,0,0,2026-05-08T13:22:36.988905+00:00,UA1712,N18220,UA,BOS,ORD
DAL1336-1778041287-fa-1116p,2026-05-08T13:02:00,2026-05-08T12:58:00Z,-4.0,7.0,0,0,2026-05-08T13:14:20.196110+00:00,DL1336,N886DN,DL,ATL,ORF
UAL745-1778025919-fa-32p,2026-05-08T12:52:00,2026-05-08T12:58:00Z,6.0,2.0,0,0,2026-05-08T13:15:25.749695+00:00,UA745,N24706,UA,EWR,ATL
AAL1091-1778047132-airline-1900p,2026-05-08T13:27:00,2026-05-08T12:58:00Z,-29.0,-4.0,0,0,2026-05-08T13:18:04.916211+00:00,AA1091,N872NN,AA,ELP,DFW
AAL2584-1778049897-airline-255p,2026-05-08T13:11:00,2026-05-08T12:58:00Z,-13.0,-7.0,0,0,2026-05-08T13:19:13.080558+00:00,AA2584,N981UY,AA,CLT,PVD
SKW4657-1778044117-airline-111p,2026-05-08T13:00:00,2026-05-08T12:58:00Z,-2.0,-7.0,0,0,2026-05-08T13:22:36.988905+00:00,OO4657,N131SY,OO,AVL,ORD
SKW5137-1778054820-airline-57p,2026-05-08T12:55:00,2026-05-08T12:58:00Z,3.0,0.0,0,0,2026-05-08T13:25:17.980815+00:00,OO5137,N932EV,OO,HYS,DEN
AAL78-1777964700-airline-1529p,2026-05-08T13:25:00,2026-05-08T12:57:00Z,-28.0,2.0,0,0,2026-05-08T13:16:32.986233+00:00,AA78,N727AN,AA,DFW,LHR
SKW6187-1778042934-airline-1332p,2026-05-08T13:28:00,2026-05-08T12:57:00Z,-31.0,-10.0,0,0,2026-05-08T13:18:04.916211+00:00,OO6187,N744EV,OO,AMA,DFW
ENY4036-1778044261-airline-1724p,2026-05-08T12:17:00,2026-05-08T12:57:00Z,40.0,-3.0,0,0,2026-05-08T13:18:04.916211+00:00,MQ4036,N278NN,MQ,HSV,DFW
JIA5090-1778051710-airline-498p,2026-05-08T13:18:00,2026-05-08T12:57:00Z,-21.0,-6.0,0,0,2026-05-08T13:19:13.080558+00:00,OH5090,N577NN,OH,CLT,BHM
RPA3421-1778049027-airline-283p,2026-05-08T13:08:00,2026-05-08T12:57:00Z,-11.0,-2.0,0,0,2026-05-08T13:20:18.961253+00:00,YX3421,N792YX,YX,EWR,CLT
SKW5699-1778044187-airline-5099p,2026-05-08T13:00:00,2026-05-08T12:57:00Z,-3.0,-12.0,0,0,2026-05-08T13:22:36.988905+00:00,OO5699,N570GJ,OO,CHO,ORD
UAL660-1778023086-fa-2155p,2026-05-08T12:39:00,2026-05-08T12:57:00Z,18.0,-7.0,0,0,2026-05-08T13:22:36.988905+00:00,UA660,N17373,UA,PHL,ORD
SKW6068-1778044187-airline-5431p,2026-05-08T13:04:00,2026-05-08T12:57:00Z,-7.0,-6.0,0,0,2026-05-08T13:25:17.980815+00:00,OO6068,N932SW,OO,SGU,DEN
AAL2540-1778049897-airline-196p,2026-05-08T12:24:00,2026-05-08T12:56:00Z,32.0,0.0,0,0,2026-05-08T13:18:04.916211+00:00,AA2540,N815NN,AA,OMA,DFW
AAL1972-1778053491-airline-632p,2026-05-08T13:10:00,2026-05-08T12:56:00Z,-14.0,-7.0,0,0,2026-05-08T13:19:13.080558+00:00,AA1972,N559UW,AA,CLT,BDL
