iata,state,timezone,iem_network,iem_validated,iem_name,iem_lat,iem_lon
PIH,ID,America/Boise,ID_ASOS,True,POCATELLO MUNICIPAL,42.9098,-112.5959
PIT,PA,America/New_York,PA_ASOS,True,PITTSBURGH INTL,40.4915,-80.2329
PLN,MI,America/New_York,MI_ASOS,True,PELLSTON,45.5709,-84.7967
PNS,FL,America/New_York,FL_ASOS,True,PENSACOLA REGIONAL,30.4781,-87.1869
PQI,ME,America/New_York,ME_ASOS,True,PRESQUE ISLE (AWOS),46.689,-68.0448
PRC,AZ,America/Phoenix,AZ_ASOS,True,PRESCOTT/LOVE FLD,34.65,-112.42
PSC,WA,America/Los_Angeles,WA_ASOS,True,PASCO/TRI-CITIES,46.2647,-119.119
PSE,PR,America/Puerto_Rico,PR_ASOS,False,,,
PSG,AK,America/Anchorage,AK_ASOS,False,,,
PSM,NH,America/New_York,NH_ASOS,True,PEASE AFB/PORTSMOUT,43.0779,-70.8233
PSP,CA,America/Los_Angeles,CA_ASOS,True,PALM SPRINGS RGNL,33.8297,-116.5067
PVD,RI,America/New_York,RI_ASOS,True,PROVIDENCE/GREEN,41.7219,-71.4325
PVU,UT,America/Denver,UT_ASOS,True,PROVO MUNI (AWOS),40.2192,-111.7234
PWM,ME,America/New_York,ME_ASOS,True,PORTLAND INTL JET,43.6424,-70.3044
RAP,SD,America/Chicago,SD_ASOS,True,RAPID CITY,44.0453,-103.0574
RDD,CA,America/Los_Angeles,CA_ASOS,True,REDDING MUNICIPAL,40.509,-122.2934
RDM,OR,America/Los_Angeles,OR_ASOS,True,REDMOND (AWOS),44.2539,-121.15
RDU,NC,America/New_York,NC_ASOS,True,Raleigh / Durham,35.8922,-78.7819
RFD,IL,America/Chicago,IL_ASOS,True,Rockford,42.1915,-89.0876
RHI,WI,America/Chicago,WI_ASOS,True,RHINELANDER,45.6312,-89.4675
RIC,VA,America/New_York,VA_ASOS,True,RICHMOND/BYRD FIELD,37.5115,-77.3234
RIW,WY,America/Denver,WY_ASOS,True,RIVERTON,43.0642,-108.4598
RKS,WY,America/Denver,WY_ASOS,True,ROCK SPRINGS,41.5942,-109.0652
RNO,NV,America/Los_Angeles,NV_ASOS,True,Reno - Tahoe,39.4839,-119.7711
ROA,VA,America/New_York,VA_ASOS,True,Roanoke Muni,37.3172,-79.9737
ROC,NY,America/New_York,NY_ASOS,True,ROCHESTER/MONROE CO,43.1167,-77.6767
ROW,NM,America/Denver,NM_ASOS,True,ROSWELL/INDUSTRIAL,33.3,-104.53
RST,MN,America/Chicago,MN_ASOS,True,ROCHESTER,43.9041,-92.4916
RSW,FL,America/New_York,FL_ASOS,True,FT MYERS/SW FLORIDA,26.5381,-81.7567
SAF,NM,America/Denver,NM_ASOS,True,SANTA FE CO. MUNI,35.6171,-106.0894
SAN,CA,America/Los_Angeles,CA_ASOS,True,SAN DIEGO/LINDBERG,32.7339,-117.1845
SAT,TX,America/Chicago,TX_ASOS,True,SAN ANTONIO INTL,29.5337,-98.4698
SAV,GA,America/New_York,GA_ASOS,True,Savannah - Hilton Head,32.1314,-81.2023
SBA,CA,America/Los_Angeles,CA_ASOS,True,SANTA BARBARA MUNI,34.4261,-119.8436
SBN,IN,America/Indiana/Indianapolis,IN_ASOS,True,SOUTH BEND,41.7072,-86.3164
SBP,CA,America/Los_Angeles,CA_ASOS,True,San Luis Obispo,35.2381,-120.6441
SCC,AK,America/Anchorage,AK_ASOS,False,,,
SCE,PA,America/New_York,PA_ASOS,False,,,
SCK,CA,America/Los_Angeles,CA_ASOS,True,STOCKTON METRO,37.8942,-121.2383
SDF,KY,America/New_York,KY_ASOS,True,Louisville Intl,38.1774,-85.7308
SEA,WA,America/Los_Angeles,WA_ASOS,True,SEATTLE-TACOMA INTL,47.4447,-122.3144
SFB,FL,America/New_York,FL_ASOS,True,SANFORD/ORLANDO,28.7797,-81.2436
SFO,CA,America/Los_Angeles,CA_ASOS,True,SAN FRANCISCO INTL,37.619,-122.3749
SGF,MO,America/Chicago,MO_ASOS,True,SPRINGFIELD,37.2397,-93.3897
SGU,UT,America/Denver,UT_ASOS,True,St George,37.0364,-113.5103
SHR,WY,America/Denver,WY_ASOS,True,SHERIDAN CO. ARPT,44.77,-106.97
SHV,LA,America/Chicago,LA_ASOS,True,SHREVEPORT REGIONAL,32.4472,-93.8244
SIT,AK,America/Anchorage,AK_ASOS,False,,,
SJC,CA,America/Los_Angeles,CA_ASOS,True,SAN JOSE INTL A,37.3594,-121.9244
SJT,TX,America/Chicago,TX_ASOS,True,SAN ANGELO/MATHIS,31.3517,-100.495
SJU,PR,America/Puerto_Rico,PR_ASOS,False,,,
SLC,UT,America/Denver,UT_ASOS,True,SALT LAKE CITY INTL,40.78,-111.97
SLN,KS,America/Chicago,KS_ASOS,True,SALINA,38.791,-97.6522
SMF,CA,America/Los_Angeles,CA_ASOS,True,SACRAMENTO METRO,38.6954,-121.5908
SMX,CA,America/Los_Angeles,CA_ASOS,True,SANTA MARIA PUBLIC,34.9,-120.45
SNA,CA,America/Los_Angeles,CA_ASOS,True,SANTA ANA/JON-WAYNE,33.6757,-117.8682
SPI,IL,America/Chicago,IL_ASOS,True,SPRINGFIELD,39.8447,-89.6839
SPS,TX,America/Chicago,TX_ASOS,True,WICHITA FALLS/SHEP,33.9786,-98.4928
SRQ,FL,America/New_York,FL_ASOS,True,SARASOTA-BRADENTON,27.4014,-82.5586
STC,MN,America/Chicago,MN_ASOS,True,ST. CLOUD,45.5433,-94.0513
STL,MO,America/Chicago,MO_ASOS,True,ST. LOUIS,38.7524,-90.3734
